GRB,GRB_key,T90,z,T90_corr,z_status,z_source,z_raw,BAT_fluence,Time [UT],Trigger Number,Other Observatory Detections,z_method,z_uncertainty,z_ref,z_swift_raw,z_redshift_raw
221009A,221009A,1068.4,0.151,928.236316246742,accepted,redshift_list,0.151,740.0,14:10:17,1126853,"MASTER-SAAO, Fermi (GBM & LAT), Liverpool, SCT (0.28m), IPN, BOOTES-2/TELMA (60cm), OSN (0.9m), Sayan Observatory (AZT-33IK), MeerLICHT (0.6m), Nanshan (0.6m), VLT, SCT (0.36m), AGILE, REM (60cm), AMI-LA (@15.5 GHz), SAAO (1.8m), ATA (@1.5, 3, 6, 8, and 10 GHz), LOAO (1m), INTEGRAL, Solar Orbiter STIX, GROWTH-India (0.7m), SRG/ART-XC, Burke-Gaffney (0.61m), Al Khatim (0.36m), Lulin (40cm), Konus-Wind, Lick/Nickel (1m), AZT-20, NOEMA (@90 GHz), LHAASO, BlackGEM, iTelescope (T24, 0.61m), Sintez-Newton (350mm), GRBAlpha, GTC (10.4m), COATLI (50cm), LCOGT (1m), NICER, NuSTAR, eMERLIN (@1.51 GHz), SMA (@ 230.7 GHz), Konkoly (RC80), GMG (2.4m), MITSuME (50cm), ASKAP (@ 888 MHz), Lowell Discovery Telescope (4.3m), MeerKAT (@ 1.284 GHz), RTT-150 (1.5m), SIRI-2, Gemini-South, HEBS, OHP (120cm), MAXI, VLA, Pan-STARRS, Large Binocular Telescope, ALMA & ACA (@ 97.5, 145, & 203 GHz), ATCA (@ 16.7, 21.2, 33, 35, 45 & 47 GHz), LEIA, Faulkes Telescope North, Medicina (@ 8.2 GHz), GRANDMA, BOAO (1.8m), TNG (3.6m), BepiColombo-MGNS, LBT, DFOT (1.3m), James Webb Space Telescope, SARA-RM (1m), VLBA (@15.2 GHz), HST, Japanese VLBI Network (@ 6.86 and 8.45 GHz), DAMPE, Las Cumbres Observatory (2m, MuSCAT3), EVN (@ 8.3 & 5 GHz)",ba,N/A,de Ugarte Postigo et al. GCN Circ. 32648 (VLT/X-shooter),0.151 (VLT: absorption & emission from host)|0.1505 (GTC: absorption),0.151
230427A,230427A,4.0,0.1524,3.4710170079833387,accepted,redshift_list,0.1524,0.95,10:31:52,1165948,"BOOTES-5/JGT (0.6m), OSIRIS+/GTC (10.4m)",bp,0.0005,Adami et al. GCN Circ. 33707 (OHP/T193),,0.1524
160821B,160821B,0.48,0.16,0.41379310344827586,accepted,redshift_list,0.16,1.0,22:29:13,709357,"NOT (2.56m), Fermi (GBM), WHT, GTC (10.4m), VLA @ 5.0 GHz, HST",he,N/A,*Xu et al. GCN Circ. 19846 (WHT),,0.16
050726,050726,49.9,0.1646,42.847329555212085,accepted,redshift_list,0.1646,19.4,05:00:18,147788,,he,N/A,"""Berger E. et al. ApJ 660 496 (2007)""",,0.1646
050219A,050219A,23.7,0.2115,19.562525794469664,accepted,redshift_list,0.2115,41.1,12:40:01,106415,,he,N/A,"""Rossi A. et al. in preparation (2014)""",,0.2115
070809,070809,1.3,0.2187,1.066710429145811,accepted,redshift_list,0.2187,1.0,19:22:17,287344,Keck I,he,N/A,"""Perley D.A. et al. GCN Circ. 7889""",,0.2187
050509B,050509B,0.073,0.2249,0.05959670177157319,accepted,redshift_list,0.2249,0.09,04:00:19,118749,Keck,he,N/A,"""Prochaska J.X. et al. GCN Circ. 3399""",0.225 (Keck: absorption),0.2249
211227A,211227A,83.79,0.228,68.2328990228013,review_numeric,redshift_list,0.228?,80.0,23:32:06,1091101,"MAXI/GSC, CALET GBM, Konus-Wind",he,N/A,Xu et al. GCN Circ. 31320; Malesani et al. GCN Circ. 31324,,0.228?
191019A,191019A,64.35,0.248,51.56249999999999,review_numeric,redshift_list,0.248(?),100.0,15:12:33,930285,"TSHAO Zeiss-1000 (1m), NOT, GROND, Nanshan (0.6m)",ba,N/A,Fynbo et al. GCN Circ. 26041 (NOT),0.248 (NOT: absorption),0.248(?)
050724,050724,96.0,0.257,76.37231503579952,accepted,redshift_list,0.257,9.98,12:34:09,147478,"optical, near-IR, RXTE ASM, GMOS, VLA  @ 8.5GHz",ba,N/A,"""Prochaska J.X. et al. GCN Circ. 3700; *Berger E. et al. Nature 438 988 (2005)""",0.257 (GMOS: absorption)|0.258 (Keck: absorption),0.257
231117A,231117A,0.67,0.257,0.5330151153540175,accepted,redshift_list,0.257,23.0,03:03:19,1197027,"AstroSat CZTI, AGILE, Konus-Wind, Glowbug, Lulin (40cm), Keck I (10m), Liverpool (2m), GIT (0.7m), GRBAlpha, ATCA @ 9 GHz, ePESSTO+, Lowell Discovery, SOAR (4m), VLA @ 10 GHz, GECAM-C, Pan-STARRS1, OHP/T120, MITSuME (50cm), CALET (GBM), Wendelstein (2m). GTC, Chandra, Mondy (AZT-33IK), MeerKAT @ 1.3 GHz",he,N/A,Gonzalez-BaÃ±uelos et al. GCN Circ. 35098  (ePESSTO+),0.257 (Keck I: emission & absorption)|0.257 (ePESSTO+: emission),0.257
150818A,150818A,123.3,0.282,96.17784711388455,accepted,redshift_list,0.282,41.0,11:36:32,652603,"NOT, AZT-33IK, Konus-Wind, GTC (10.4m), Zeiss-1000",he,N/A,'Sanchez-Ramirez et al. GCN Circ. 18177 (GTC)',0.282 (GTC: emission from possible host),0.282
120422A,120422A,5.35,0.28253,4.171442383414033,accepted,redshift_list,0.28253,2.3,07:12:03,520658,"Gemini-North (8m), Zadko (100cm), NOT, EVLA @ 6 and 22 GHz, MPI/ESO (2.2m), VLT, Palomar (200"")",ba,N/A,"""Tanvir N.R. et al. GCN Circ. 13251; Schulze S. et al. GCN Circ. 13257; *Schulze S. et al. A&A 566 A102 (2014)""",0.28 (Gemini-North: emission)|0.283 (VLT: emission),0.28253
060502B,060502B,0.131,0.287,0.10178710178710179,accepted,redshift_list,0.287,0.4,17:24:41,208275,"MDM (1.3m), Gemini",he,N/A,"""Bloom J.S. et al. GCN Circ. 5238; *Bloom J.S. et al. ApJ 654 878 (2007)""",0.287 (Keck I-candidate: absorption),0.287
050826,050826,35.5,0.296,27.391975308641975,accepted,redshift_list,0.296,4.13,06:18:10,152113,MDM Observatory,he,N/A,"""Halpern J.P. & Mirabal N. GCN Circ. 5982; *Mirabal N. et al. ApJ 661 L127 (2007)""",0.297 (MDM: emission from host),0.296
111225A,111225A,106.8,0.297,82.34387047031612,accepted,redshift_list,0.297,13.0,03:50:37,510341,"TAROT (25cm), Super-LOTIS (0.6m), TNT, CAHA (1.23m), Keck I (10m), RAPTOR, Shajn Telescope, GTC (10.4)",ba,N/A,"""Thoene C.C. & de Ugarte Postigo A. GCN Circ. 16079""",0.297 (GTC: absorption),0.297
250424A,250424A,19.03,0.31,14.526717557251908,accepted,redshift_list,0.310,320.0,06:52:28.51,1306404,"MASTER-OAFA, REM (60cm), DDOTI, VLT, BlackGEM, COLIBRÃ, AstroSat (CZTI), Kilonova-Catcher, Konus-Wind, SVOM/VT, EIRSAT-1 (GMOD), Palomar  (1m), PRIME, SVOM/GRM, LCO (1m), CALET (GBM)",ba,N/A,Saccardi et al. GCN Circ. 40228 (VLT/X-shooter),"0.310 (VLT: absorption, emission from likely host)",0.310
150727A,150727A,88.0,0.313,67.02208682406703,review_numeric,redshift_list,0.313(?),37.0,19:02:02,650530,"VLT, Fermi (GBM), HJT (1.5m), IRSF (1.4m)",he,N/A,"""Tanvir et al. GCN Circ. 18080 (VLT/X-shooter)""",0.313 (VLT: emission),0.313(?)
