GRB_x,z,GRB_clean,GRB_y,Time [UT],Trigger Number,BAT RA (J2000),BAT Dec (J2000),BAT T90 [sec],BAT Fluence (15-150 keV) [10^-7 erg/cm^2],XRT RA (J2000),XRT Dec (J2000),XRT Time to First Observation [sec],XRT Early Flux (0.3-10 keV) [10^-11 erg/cm^2/s],UVOT RA (J2000),UVOT Dec (J2000),UVOT Time to First Observation [sec],UVOT Magnitude,Other Observatory Detections,Redshift,Host Galaxy,Comments,References,T90,T90_corr
210702A,1.16,210702A,210702A,19:07:13,1058804,168.57,-36.741,138.2,98,11:14:18.90,-36:44:49.7,95.50,1000,11:14:18.70,-36:44:50.0,104,,"MASTER-SAAO, MeerLICHT (0.6m), VLT, CALET (GBM), AGILE, iTelescope T17 (0.43m), Chilescope RC-1000, Konus-Wind, BOOTES-3/YA (60cm), ALMA @ 95.5 GHz, ATCA @ 16.7, 21.2, & 34 GHz, MeerKAT @ 1.284 GHz",1.1757 (Swift/UVOT: absorption)|1.160 (VLT: absorption),,,"BAT: GCN 30351; GCN 30368|XRT: GCN 30351; GCN 30358; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 30351; GCN 30355; GCN 30356|Radio: GCN 30423 (ALMA); GCN 30424 (ATCA); GCN 30477 (ATCA); GCN 30479 (ALMA); GCN 30538 (MeerKAT)|Redshift: GCN 30355 (Swift/UVOT); GCN 30357 (VLT)",138.2,63.981481481481474
210610B,1.1345,210610B,210610B,19:51:27,1054681,243.929,14.398,69.38,360,16:15:40.47,14:23:56.3,83.92,1070,16:15:40.40,14:23:56.9,92,V=15.63,"MASTER-Kislovodsk, GROWTH-India Telescope (0.7m), CrAO/ZTSh (2.6m), BOOTES-2/TELMA (60cm), MeerLICHT (0.6m), iTelescope (T18), NOT, OSN (1.5m), SAO RAS Zeiss-1000 (1m), HJT (1.5m), GOTO, GTC (10.4m), AGILE, Konus-Wind, University of Siena Observatory (0.3m), Fermi (GBM), HCT (2m), KAIT (0.76m), Radboud (0.28m), ZTF, CrAO/ZTSH (2.6m), Liverpool (2m), ALMA @ 90.5 GHz, VLA @ 14.7 GHz, MITSuME (50cm), SARA-KP (0.9m), Simeiz Obserbatory (1m), BGOP (0.61m), ARO (0.355m), REM (60cm), AbAO, T-CAT (0.4m), CrAO (350mm)",1.13 (NOT: tentative)|1.1345 (GTC)|1.13 (HCT: absorption),"Legacy Survey, PanSTAR, and SDSS archives (See GCN 30188)",,"BAT: GCN 30170; GCN 30207|XRT: GCN 30170; GCN 30189; GCN 30208; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 30170; GCN 30247|Radio: GCN 30217 (ALMA); CGN 30218 (VLA)|Redshift: GCN 30182 (NOT); GCN 30194 (GTC); GCN 30201 (HCT)|Host: GCN 30188",69.38,32.504099320684
210610A,3.5,210610A,210610A,15:03:43,1054627,204.284,14.476,13.62,10,13:37:07.74,14:27:55.4,89.95,,13:37:07.59,14:27:55.0,94,V=16.74,"MITSuME (50cm), Xinglong (2.16m), GROWTH-India (0.7m), MASTER, MeerLICHT (0.6m), Murikabushi (105cm), HJT (1.5m), Konus-Wind, HCT (2m), KAIT (0.76m), CAHA (2.2m), CrAO/ZTSH (2.6m), SAO RAS (1m), Fermi (GBM), Maidanak AZT-22, AbAO (AS-32)",3.54 (Xinglong: absorption)|3.5 (HCT: absorption),,,"BAT: GCN 30160; GCN 30186|XRT: GCN 30160; GCN 30165; GCN 30192; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 30160; GCN 30246|Redshift: GCN 30164 (Xinglong); GCN 30200 (HCT)",13.62,3.0266666666666664
201015A,0.423,201015A,201015A,22:50:13,1000452,354.31,53.446,9.78,2.0,23:37:16.46,53:24:57.7,3214.07,,,,3217,V>19.3,"MASTER-Tavrida, NOT, GOTO, BOOTES-1B (0.3m), GTC (10.4m), Nanshan/NEXT (0.6m), CrAO/ZTSH (2.6m), MAGIC, Fermi (GBM), FRAM-ORM (25cm), AZT-33IK, AZT-20, NUTTelA-TAO / BSTI, MMT (6.5m), Xinglong (2.16m), HCT (2.0m), VLA @ 6 GHz, SAO RAS (1m), Chandra, EVN @ 5GHz",0.426 (GTC: emission)|0.423 (NOT: absorption & emission),,"Due to an observing constraint, Swift did not slew until T0+51.6 minutes.","BAT: GCN 28632; GCN 28658|XRT: GCN 28635; GCN 28647; GCN 28660; GCN 28857; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 28662|Radio: GCN 28688 (VLA); GCN 29028 (EVN)|Redshift: GCN 28649 (GTC); GCN 28661 (NOT)",9.78,6.872803935347856
200205B,954520.0,200205B,200205B,19:21:43,954519|954520,107.76,-56.488,458.0,54,07:11:09.02,-56:29:14.8,342.71,126,07:11:09.15,-56:29:15.3,352,V=16.88,"MASTER, LCO 1(m), VLT, ESO/NTT, Chilescope RC-1000, Konus-Wind",1.465 (VLT: absorption and emission),,,"BAT: GCN 26993; GCN 27012|XRT: GCN 26993; GCN 26999; GCN 27001; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 26993; GCN 27006|Redshift: GCN 26998 (VLT)",458.0,0.0004798218163874865
190829A,0.078,190829A,190829A,19:56:44.60,922968,44.542,-8.958,58.2,64,02:58:10.51,-08:57:29.3,97.31,77.5,,,106,V=17.52,"Fermi (GBM), Dabancheng (0.5m), MASTER-Kislovodsk, GROWTH-India, NOT, GTC (10.4m), H.E.S.S., MPG (2.2m), AGILE, KAIT (0.76m), MMT (6.5m), UKIRT, Liverpool (2m), NOEMA @ 90 GHz, TNG (3.6m), Keck I, uGMRT (1050-1450 MHz), MeerKAT @ 1.3 GHz, LCO (1m), GROND, MASTER-SAAO, Konus-Wind, Stroncone Observatory (50cm), ATCA at 5.5 GHz, ZTSh (2.6m)",0.0785 (GTC: absorption & emission from SDSS J025810.28-085719.2)| 0.078 (Keck I: emission from host),,We note the presence of a galaxy SDSS J025810.28-085719.2 with z=0.07914 centered at a distance of 10 arcseconds from the XRT location.,"BAT: GCN 25552; GCN 25579|XRT: GCN 25552; GCN 25567; GCN 25568; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 25552; GCN 25570|Radio: GCN 25589 (NOEMA); GCN 25627 (uGMRT); GCN 25635 (MeerKAT); GCN 25676 (ATCA)|Redshift: GCN 25565 (GTC); GCN 25595 (Keck I)",58.2,53.98886827458256
190204A,887580.0,190204A,190204A,05:46:01,887579|887580,351.491,54.884,26.4,130,23:25:54.72,54:52:34.8,75.03,572,23:25:54.58,54:52:35.1,84,V=18.30,"MAXI/GSC, AstroSat CZTI, COATLI (50cm), SAO RAS Zeiss-1000, Konus-Wind, CALET",,,This GRB resulted in two BAT triggers in the on-board processing (,,26.4,2.9743764231095528e-05
190114C,0.4245,190114C,190114C,20:57:03,883832,54.503,-26.938,361.5,830,03:38:01.18,-26:56:47.8,63.95,7390,03:38:01.16,-26:56:46.9,74,V=16.28,"MASTER-IAC, MASTER-SAAO, NOT (2.5m), OASDG (0.5m), MAGIC, MPG (2.2m), Fermi (GBM & LAT). GTC (10.4m), ESO-VLT UT2, AGILE/MCAL, INTEGRAL, Insight-HXMT/HE, McDonald Observatory, VLA @ 33.5 GHz, ALMA @ 90 GHz, REM (60cm), LSGT (0.42m), GROWTH-India (0.7m), KMTnet (1.6m), Konus-Wind, UKIRT, CHILESCOPE RC-1000, HCT (2m), ATCA @ 5.5, 9, 17 and 19 GHz, ePESSTO NTT, COATLI (50cm), RT-22 @ 36.8 GHz, HJT (1.5m), MeerKAT @ 1.3 GHz, GMRT @ 1.26 GHz, RTT150 (1.5m), HCT (2m)",0.42 (NOT: absorption)|0.4245 (GTC)|0.4250 (ESO-VLT UT2: absorption & emission),"r'=21.229, i'=21.574, z'=20.994 Pan-STARRS (possible host)",,"BAT: GCN 23688; GCN 23724|XRT: GCN 23688; GCN 23704; GCN 23706; GRB 23736; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 23688; GCN 23725|Radio: GCN 23726 (VLA); GCN 23728 (ALMA); GCN 23745 (ATCA); GCN 23750 (RT-22); GCN 23760 (MeerKAT); GCN 23762 (GMRT)|Redshift: GCN 23695 (NOT); GCN 23708 (GTC); GCN 23710 (ESO-VLT UT2)|Host: GCN 23692 (Pan-STARRS)|Other: GCN 23983 (SN Discovery)",361.5,253.77325377325374
190106A,1.86,190106A,190106A,13:34:44,882252,29.877,23.839,76.8,60,01:59:31.23,23:50:43.8,81.79,1980,01:59:31.16,23:50:43.9,90,V=16.54,"MASTER-Amur, MITSuME (50cm), GMG (2.4m), TSHAO Zeiss-1000 (1m), GWAC-F60B, Xinglong (2.16m), Bassano Bresciano Observatory (250mm), BOOTES-4/MET (0.6m), OASDG (0.5m), VLT, IERCOO/ICSP (0.61m), NEXT (0.6m), Konus-Wind, AZT-33IK, Liverpool (2m), OSN T150, DCT (4.3m)",1.86 (Xinglong: absorption)| 1.86 (GMG: absorption)|1.859 (VLT: absorption),,,"BAT: GCN 23615; GCN 23625|XRT: GCN 23615; GCN 23619; GCN 23633; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 23615; GCN 23626|Redshift: GCN 23623 (Xinglong); GCN 23629 (Xinglong); GCN 23630 (GMG); GCN 23632 (VLT)",76.8,26.85314685314685
180325A,2.248,180325A,180325A,01:53:02,817564,157.416,24.461,94.1,65,10:29:42.57,24:27:48.9,73.38,468,10:29:42.59,24:27:48.6,82,V>18.8,"Liverpool (2m), NOT (2.5m), REM (60cm), HJT (1.5m), SLKT (0.8m), D50 (0.5m), TAROT (25cm), MASTER-OAFA, MASTER-IAC, MPG (2.2m), Konus-Wind, VLT, AstroSat CZTI",2.25 (NOT: absorption)| 2.248 (VLT: absorption),,,"BAT: GCN 22532; GCN 22545|XRT: GCN 22532; GCN 22539; GCN 22540; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 22532; GCN 22549|Redshift: GCN 22535 (NOT); GCN 22555 (VLT)",94.1,28.97167487684729
170202A,3.65,170202A,170202A,18:28:02,736407,152.526,5.021,46.2,33,10:10:03.46,05:00:41.0,72.49,221,10:10:03.49,05:00:41.8,84,V=18.27,"Xinglong  TNT (0.8m), MASTER II, LCO (1m), Zadko (D=100cm), Kanata, NOT, GTC (10.4m), MITSuME (50cm), Xinglong (2.16m), VLT, T100 (1m), LCO FTN (2m), McDonald Observatory (2.1m), HJT (1.5m), VIRT (0.5m), Konus-Wind, CTIO (1.3m)",3.645 (GTC: absorption and emission)|3.65 (Xinglong: absorption)|3.645 (VLT: absorption and emission),,,"BAT: GCN 20575; GCN 20596|XRT: GCN 20575; GCN 20586; GCN 20592; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 20575; GCN 20587|Redshift: GCN 20584 (GTC); GCN 20588 (Xinglong); GCN 20589 (VLT); GCN 20590 (VLT)",46.2,9.935483870967742
161219B,0.1475,161219B,161219B,18:48:39,727541,91.717,-26.801,6.94,15,06:06:51.37,-26:47:29.7,108.25,,06:06:51.43,-26:47:29.5,112,V=16.7,"MPG (2.2m), LCO (1m), Watcher (40cm), ISON/Terskol (0.8m), VLA @ 14.75 GHz, MITSuME (50cm), VLT, SALT, Konus-Wind, ALMA @ 97 GHz, MASTER II, POLAR, UKIRT (3.8m), GTC (10.4m), GMRT @ 1390 MHz, AZT-33IK, ZTSh, AS-32, Zeiss-1000, Chandra",0.1475 (VLT: absorption)|0.1475 (GTC: absorption),,,"BAT: GCN 20296; GCN 20308|XRT: GCN 20296; GCN 20297; GCN 20298; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 20296; GCN 20306|Radio: GCN 20313 (VLA); GCN 20328 (ALMA); GCN 20344 (GMRT)|Redshift: GCN 20321 (VLT)",6.94,6.047930283224401
161017A,2.01,161017A,161017A,17:51:51,718023,142.77,43.125,216.3,53,09:31:04.53,43:07:35.0,57.66,324,09:31:04.60,43:07:36.3,68,V=15.14,"MASTER II, Fermi (GBM), GTC (10.4), TNG (3.6m), LCOGT (1m), MITSuME (50cm), Lomonosov BDRG, MASTER, SARA-RM (1.0m), Liverpool (2m), NOEMA @ 93 and 133 GHz, Konus-Wind",2.0127 (GTC: absorption)|2.01 (TNG: absorption),,,"BAT: GCN 20064; GCN 20076|XRT: GCN 20064; GCN 20067; GCN 20073; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 20064; GCN 20074|Radio: GCN 20081 (NOEMA)|Redshift: GCN 20069 (GTC); GCN 20077 (GTC); GCN 20078 (TNG)",216.3,71.86046511627907
161014A,2.823,161014A,161014A,12:31:22,717500,332.626,7.467,18.3,19,22:10:35.42,07:28:07.4,121.80,,22:10:35.46,07:28:07.3,4000,V=19.1,"MITSuME (50cm), Faulks South (2m), Xinglong (0.8m), Kanata, TSHAO (1m), GTC (10.4m), NOT (2.56m), TNG (3.6m), Fermi (GBM), HJT (1.5m), Konus-Wind, VLT",2.823 (GTC: absorption)|2.823 (VLT: absorption),,,"BAT: GCN 20035; GCN 20049|XRT: GCN 20035; GCN 20040; GCN 20050; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 20040; GCN 20045|Redshift: GCN 20043 (GTC); GCN 20061 (VLT)",18.3,4.786816636149621
160410A,1.72,160410A,160410A,05:09:48,682269,150.695,3.461,8.2,7.8,10:02:44.40,03:28:40.8,82.89,104,10:02:44.37,03:28:42.7,91,V>19.7,"MPG (2.2m), VLT, PROMPT, Keck-I, GMG (2.4m), TAROT (25cm), Konus-Wind, NOT",1.717 (VLT: absorption)|1.72 (Keck-I: absorption),,,"BAT: GCN 19271; GCN 19276|XRT: GCN 19271; GCN 19273; GCN 19282; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 19271; GCN 19275|Redshift: GCN 19274 (VLT); GCN 19278 (Keck-I)",8.2,3.014705882352941
160131A,0.972,160131A,160131A,08:20:31,672236,78.17,-7.037,325,204,05:12:40.32,-07:02:59.5,69.68,1290,05:12:40.33,-07:02:58.81,78,V=15.72,"MASTER II, Faulkes North (2m), TNT (0.8m), WFT (60cm), HJT (1.5m), LCOGT (1m), TNG (3.6m), Khureltogot (ORI-40), Bassano Bresciano Observatory, GTC (10.4m), MPG (2.2m), Murikabushi (1m), Xinglong (2.16m), Sayan Observatory, Abastumani Observatory (0.7m), Sierra Nevada Observatory (1.5m), Konus-Wind, NOEMA @ 93 and 150 GHz, VLA @ 21.8 GHz, AZT-33IK, Zeiss-1000, Astrosat CZTI",0.97 (TNG: absorption)|0.972 (GTC: absorption)|0.97 (Xinglong: absorption),,,"BAT: GCN 18951; GCN 18959|XRT: GCN 18951; GCN 18958; GCN 18963; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 18951; GCN 18970|Radio: GCN 18976 (NOEMA); GCN 18977 (VLA); GCN 18978 (VLA)|Redshift: GCN 18965 (TNG); GCN 18966 (GTC); GCN 18969 (Xinglong)",325.0,164.80730223123732
151027A,0.81,151027A,151027A,03:58:24,661775,272.498,61.361,129.69,78,18:09:56.85,61:21:11.9,87.00,708,18:09:57.26,61:21:05.4,96,V=15.12,"KAIT (0.76m), ISON-NM (0.4m), Palomar (60""), Weihai (1m), MITSuME (50cm), Fermi (GBM), GMG (2.4m), RAPTOR, THO (16""), VLA @ 21.8 GHz, LCOGT-McDonald (1m), Xinglong  (0.8m), Konus-Wind, TUBITAK T100 (1m), NOT, Zeiss-1000 (1m), MAXI, Nikolaev (0.5m), Wiggins (0.35m), Mt. Terskol (Zeiss-600), Sayan (AZT-33IK), Hankasalmi (0.4m), GMRT @ 1390 MHz and 610 MHz, Himalayan Chandra Telescope (2m), Maidanak (AZT-22)",0.38 (XRT: tentative)|0.81 (Keck: absorption)|0.81 (GMG: absorption),,,"BAT: GCN 18478; GCN 18496|XRT: GCN 18478; GCN 18482; GCN 18483; GCN 18490; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 18478; GCN 18502|Radio: GCN 18508 (VLA); GCN 18608 (GMRT); GCN 18620 (GMRT)|Redshift: GCN 18483 (XRT); GCN 18487 (Keck); GCN 18493 (GMG)",129.69,71.65193370165746
150910A,1.36,150910A,150910A,09:04:48,655097,5.677,33.466,112.2,48,00:22:40.16,33:28:22.7,145.30,223,00:22:40.11,33:28:21.9,154,V>17.23,"KAIT (0.76m), Faulkes North (2m), MITSuME (50cm), Nanshan (1m), Lick (3m), GTC (10.4), Zeiss-1000 (SAO RAS), Murikabushi (1m), MPG (2.2m), Okayama Astrophysical Observatory (0.91m), NOT (2.5m), Zeiss-1000 (Tien Shan), VLA @ 9.8 GHz, Chuguev Observatory (0.7m), AS-32 (0.7m), Palomar (60""), Murikabushi (1m), HJT (1.5m), Zeiss-600 (Mt. Terskol), T100 (1m), Zeiss-2000 (Mt. Terskol), AS-32 (0.7m), CrAO Observatory",1.359 (Lick: absorption)|1.360 (GTC: absorption),,UVOT: Preliminary detections using the UVOT photometric system show a very rapid and steep rise in the luminosity of the afterglow over the first 1 ks of observation.,"BAT: GCN 18264; GCN 18268|XRT: GCN 18264; GCN 18272; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 18264; GCN 18270|Radio: GCN 18285 (VLA)|Redshift: GCN 18273 (Lick); GCN 18274 (GTC)",112.2,47.542372881355924
150710B,20542.0,150710B,150710B,08:05:35,Ground Analysis|20542,83.191,-46.96,15,3.5,05:32:52.48,-46:56:31.7,115200,,,,115200,V>19.5,Konus-Wind,,,UVOT: no detection,"BAT: GCN 18009; GCN 18013|XRT: GCN 18018; GCN 18022; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 18018",15.0,0.0007301757289587694
150413A,3.139,150413A,150413A,13:54:58,637899,190.396,71.839,263.6,43,,,303300,,,,,,"MASTER II, MAXI, Khureltogot (ORI-40), Nanshan (1m), Tautenburg (1.34m), Palomar (60""), CAHA (2.2m), University of Athens (0.40m), iTelescope (0.43m & 0.32m), Capannori (0.60m), Virtual Telescope (17""), GMG (2.4m), Asiago (1.8m), Mt. Lemmon (1m), MITSuME (50cm), RTT150 (1.5m), AZT-11, AMI @ 15 GHz, Bassano Bresciano Observatory, SANTEL-650",3.2 (CAHA: absorption)|3.139 (Asiago: absorption),,"Due to an observing constraint, Swift did not observe until T0+4 days.|XRT: no detection",BAT: GCN 17688; GCN 17701; GCN 17731|XRT: GCN 17723|Radio: GCN 17708 (AMI)|Redshift: GCN 17697 (CAHA); GCN 17710 (Asiago),263.6,63.68688088910366
150204A,20477.0,150204A,150204A,06:31:08,Ground Analysis|20477,160.241,-64.043,12,8.0,10:40:56.94,-64:02:19.4,51200,,,,51182,V>19.5,Fermi (GBM),,,UVOT: no detection,BAT: GCN 17404; GCN 17406|XRT: GCN 17409; GCN 17428|UVOT: GCN 17411,12.0,0.0005859947260474656
141229A,20455.0,141229A,141229A,11:49:02,Ground Analysis|20455,,,7,15,04:49:42.79,-19:13:58.1,11700,,,,,,MAXI,,,"XRT: With the present uncertainties, a secure identification of the afterglow is not possible.|First reported by MAXI (GCN 17246)",BAT: GCN 17256|XRT: GCN 17251,7.0,0.000342197888150176
141004A,0.573,141004A,141004A,23:20:54,614390,76.721,12.828,3.92,6.7,05:06:56.07,12:49:10.2,59.89,,05:06:56.14,12:49:11.3,65,V=18.94,"INTEGRAL, CAHA (1.23m), TNG (3.6m), Monte Agliale Observatory (0.5m), HJT (1.5m), NOT (2.5m), MPG (2.2m), Fermi (GBM), GTC (10.4m)",0.57 (NOT: emission)|0.573 (GTC: emission),,,"BAT: GCN 16878; GCN 16892|XRT: GCN 16878; GCN 16883; GCN 16896; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 16878; GCN 16890|Redshift: GCN 16891 (NOT), GCN 16902 (GTC)",3.92,2.49205340114431
140629A,2.29,140629A,140629A,14:17:30,602884,249.017,41.897,42.0,24,16:35:54.48,41:52:36.7,94.25,60.8,16:35:54.42,41:52:36.8,101,V=15.29,"MASTER II, TNT (0.8m), RTT150 (1.5m), Virtual Telescope (14""), Kiso Observatory, NOT, T100 (1.0m), Kanata (1.5m), Murikabushi (1m), BTA (6m), Palomar (60""), VATT, TNG (3.6m), Konus-Wind, Nayuta (2m), Zeiss-1000 (1m), MITSuME (50cm), ARIES Nainital (1.04m)",2.275 (BTA: absorption)|2.29 (TNG: absorption),,,"BAT: GCN 16477; GCN 16481|XRT: GCN 16477; GCN 16479; GCN 16490; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 16477; GCN 16494|Redshift: GCN 16489 (BTA); CGN 16493 (TNG)|Other: GCN Report 479.1",42.0,12.76595744680851
140611A,20385.0,140611A,140611A,03:51:04,Ground Analysis|20385,349.939,-40.111,1.9,,23:19:40.15,-40:06:16.0,80500,,,,,,,,,XRT: cannot determine whether the source is fading and no further observations are planned.|First reported by IPN (GCN 16384).,BAT: GCN 16386|XRT: GCN 16390,1.9,9.320121652114196e-05
140529A,20383.0,140529A,140529A,09:28:06,Ground Analysis|20383,228.81,-41.042,4.5,22,15:15:07.68,-41:03:10.6,65000,,,,65000,,Konus-Wind,,,,BAT: GCN 16340; GCN 16346|XRT: GCN 16342|UVOT: GCN 16343,4.5,0.0002207613814756672
140414A,20375.0,140414A,140414A,06:06:29,Ground Analysis|20375,195.31,56.902,0.7,1.22,,,40400,,,,40000,,,,,"A Swift TOO request was approved to locate the afterglow with XRT, with the observation ID 20375.  Unfortunately, the star tracker did not find enough targets to lock.  Swift will not reobserve the target.|XRT: no detection|UVOT: no detection",BAT: GCN 16110; GCN 16111|XRT: GCN 16113|UVOT: GCN 16114,0.7,3.435414212799372e-05
140311A,5.0,140311A,140311A,21:05:16,591390,209.293,0.607,71.4,23,13:57:13.25,00:38:30.8,9500,,,,9540,V>19.0,"Nanshan (1m), Zadko (100cm), NOT, Kottamia (188cm), Gemini-South, Gemini-North, HJT (1.5m), VLA @ 21.8 GHz",4.95 (Gemini-South: absorption)|~ 5 (NOT: absorption)|4.954 (Gemini-North),,"Due to an observing constraint, Swift did not slew until T0+50.6 minutes|UVOT: no detection","BAT: GCN 15944; GCN 15962|XRT: GCN 15959; GCN 15968; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 15973|Radio: GCN 15985 (VLA)|Redshift: GCN 15961 (Gemini-South); GCN 15964 (NOT); GCN 15966 (Gemini-North)",71.4,11.9
140304A,5.28,140304A,140304A,13:22:31,590206,30.653,33.48,15.6,12,02:02:34.26,33:28:25.7,75.18,62.8,,,138,V>19.5,"MASTER II, Nanshan (1m), Mondy (AZT-33IK), Khureltogot (ORI-40), NOT, GTC (10.4m), Fermi (GBM), HJT (1.5m), VLA @ 6 GHz, CARMA @ 3mm, Suzaku",5.283 (GTC: absorption)| 5.28 (NOT: absorption),,This GRB will enter a Moon observing constraint around 20:00 UT and will not be observable again by Swift until March 6 (Thursday) around 05:30 UT. |UVOT: no detection,"BAT: GCN 15915; GCN 15927|XRT: GCN 15915; GCN 15925; GCN 15926; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 15915; GCN 15920|Radio: GCN 15930 (VLA); GCN 15931 (CARMA)|Redshift: GCN 15922 (GTC); GCN 15924 (NOT); GCN 15936 (GTC)",15.6,2.484076433121019
140206A,2.74,140206A,140206A,07:17:20,585834,145.321,66.762,93.6,160,09:41:20.24,66:45:38.5,43.88,962,09:41:20.26,66:45:38.6,52,V=15.75,"INTEGRAL, Searchlight Observatory Network (40cm), MASTER II, Mt. Nanshan (1m), VT-50 (0.5m), Fermi (GBM), T100 (1.0m), TNG  (3.6m), NOT, Virtual Telescope (0.43m), MITSuME (50cm), Liverpool (2m), Sayan Observatory (AZT-33IK), Discovery Channel Telescope (4.3m)",2.73 (NOT: absorption)|2.74 (TNG: absorption),,,"BAT: GCN 15784; GCN 15805|XRT: GCN 15784; GCN 15793; GCN 15798; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 15787; GCN 15795|Redshift: GCN 15800 (NOT); GCN 15802 (TNG)|Other: GCN Report 466.1",93.6,25.026737967914436
131117A,4.042,131117A,131117A,00:34:04,577968,332.354,-31.761,11.00,2.5,22:09:19.45,-31:45:44.8,66.11,,22:09:19.36,-31:45:44.3,70,V>20.0,"PROMPT (14""), MPG (2.2m), VLT, TAROT (50cm)",4.18 (MPG: photometric)|4.042 (VLT: absorption),,,"BAT: GCN 15490; GCN 15499; GCN 15500|XRT: GCN 15490; GCN 15492; GCN 15495; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 15490; GCN 15496|Redshift: GCN 15493 (MPG)|GCN 15494 (VLT)",11.0,2.18167393891313
131030A,1.295,131030A,131030A,20:56:18,576238,345.074,-5.38,41.1,290,23:00:16.20,-05:22:06.5,78.36,5430,23:00:16.14,-05:22:05.2,90,V=15.98,"Watcher, MASTER II, Liverpool (2m), NOT, GTC (10.4m), D50 (0.5m), BART (0.25m), CAHA (1.23m), Zeiss-1000 (1m), Konus-Wind, iTelescope (T21), TAROT (25cm), HJT (1.5m), Palomar (60""), Xinglong (0.8m), Bassano Bresciano Observatory (32mm), Skinakas Observatory (1.3m), Mt. Lemmon, MITSuME (50cm), DFOT (1.3m)",1.293 (NOT: absorption)|1.295 (GTC: absorption),,,"BAT: GCN 15402; GCN 15456|XRT: GCN 15402; GCN 15416; GCN 15417; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 15402; GCN 15414|Redshift: GCN 15407 (NOT); GCN 15408 (GTC)",41.1,17.908496732026144
131004A,0.71,131004A,131004A,21:41:03,573190,296.108,-2.952,1.54,2.8,19:44:27.16,-02:57:31.0,69.97,,19:44:27.09,-02:57:30.4,75,V>20.24,"NOT, TNG (3.6m), Liverpool (2m), Magellan (6.5m), MPG (2.2m), TNG (4m), Fermi (GBM)",0.717 (Magellan: emission)|0.71 (TNG: emission),,,"BAT: GCN 15303; GCN 15316|XRT: GCN 15303; GCN 15308; GCN 15311; GCN 15318; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 15303; GCN 15313|Redshift: GCN 15307 (Magellan); GCN 15310 (TNG)",1.54,0.9005847953216375
131001A,20297.0,131001A,131001A,05:37:24,Ground Analysis|20297,8.304,25.557,4.9,4.9,,,,,,,79990,,,,,XRT: no detection|UVOT: no detection,BAT: GCN 15281; GCN 15293|XRT: GCN 15288|UVOT: GCN 15288,4.9,0.00024140309390087696
130623A,20284.0,130623A,130623A,11:42:44.7,Ground Analysis|20284,20.723,-77.784,15,5.4,01:23:24.83,-77:46:24.2,,,,,,,"Fermi (GBM), MPG/ESO (2.2m)",,,"XRT: The source reported seems to have faded, suggesting that it may be the X-ray afterglow.|UVOT: no detection",BAT: GCN 14921|XRT: GCN 14926; GCN 14964|UVOT: GCN 14926,15.0,0.0007394626571358146
130606A,5.913,130606A,130606A,21:04:39,557589,249.39,29.796,276.58,29,16:37:35.13,29:47:46.8,72.43,164,,,80,V>20.6,"TELMA (0.6m), CAHA (1.23m), NOT (2.5m), Sutherland Observatory (1.4m), Liverpool (2m), Virtual Telescope (0.43m), GTC (10.4m), Montarrenti Observator (0.53m), TUBITAK (1.0m), MMT (6.5m), HJT (1.5m), Mt. Lemmon (1m), PAIRITEL (1.3m), Palomar (60""), Abastumani Observatory (0.7m), MPG/ESO (2.2m), Konus-Wind, Abastumani Observatory (0.7m), PROMPT (16""), VLT, EVLA @ 21.8 GHz, TAROT (25cm), Liverpool (2m), Chandra",5.91 (GTC: absorption)|5.913 (MMT: absorption)|5.913 (VLT: absorption),,UVOT: no detection,"BAT: GCN 14781; GCN 14819|XRT: GCN 14781; GCN 14811; GCN 14812; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 14781; GCN 14814|Redshift: GCN 14790 (GTC); GCN 14796 (GTC); GCN 14798 (MMT); GCN 14816 (VLT)|Other: GCN Report 444.1",276.58,40.008679299869804
