GRB_x,z,GRB_clean,GRB_y,Time [UT],Trigger Number,BAT RA (J2000),BAT Dec (J2000),BAT T90 [sec],BAT Fluence (15-150 keV) [10^-7 erg/cm^2],XRT RA (J2000),XRT Dec (J2000),XRT Time to First Observation [sec],XRT Early Flux (0.3-10 keV) [10^-11 erg/cm^2/s],UVOT RA (J2000),UVOT Dec (J2000),UVOT Time to First Observation [sec],UVOT Magnitude,Other Observatory Detections,Redshift,Host Galaxy,Comments,References,T90,T90_corr
240912A,1.23,240912A,240912A,01:46:39,1253910,124.625,33.999,113.24,450,08:18:32.28,33:59:56.9,106.02,8640,08:18:32.40,33:59:56.3,115,V=17.78,"Fermi (GBM), GTC (10.4m), NOT (2.56m), INTEGRAL, LCOGT (1m), SVOM/GRM, Konus-Wind, VLA @  6, 10 & 15 GHz",1.234 (GTC: absorption)|1.23 (NOT: absorption),"g = 23.08, r = 22.88, and z = 22.01 (LCOGT/Legacy Surveys: likely host)",,"BAT: GCN 37466; GCN 37539|XRT: GCN 37466; GCN 37470; GCN 37479; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 37466; GCN 37487|Radio: GCN 37978 (VLA)|Redshift: GCN 37469 (GTC); GCN 37471 (NOT)|Host: GCN 37476 (LCOGT)",113.24,50.780269058295964
240825A,0.66,240825A,240825A,15:52:59,1250617,344.57,1.019,57.20,250,22:58:17.16,01:01:35.0,83.11,3240,22:58:17.26,01:01:36.9,93,V=17.02,"Fermi (GBM & LAT), Nanshan/HMT (0.5m), PROMPT-MO, AKO (0.36m), Mephisto (1.6m), GMG (2.4m), LCO (1m), MASTER-SAAO, Montarrenti Observatory (0.53m), SVOM/C-GFT (1.2m), VLT, REM (60cm), AstroSat CZTI, MISTRAL/T193 OHP (193cm), PRIME (1.8m), Konus-Wind, KAIT (0.76m), TNG (3.6m), SAO RAS (1m), ALMA @ 97.5 GHz, GECAM-B, VLA @ 8.6 GHz, iTelescope (T73, 0.356m), SVOM/VT, MeerKAT @ (1.3 and 3 GHz), MeerLICHT (0.6m), ATCA, SVOM/VT, INTEGRAL",0.659 (VLT: absorption & emission)|~0.66 (TNG: absorption),,,"BAT: GCN 37274; GCN 37355|XRT: GCN 37274; GCN 37290; GCN 37294; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 37274; GCN 37296|Radio: GCN 37314 (ALMA); GCN 37322 (VLA); GCN 37353 (MeerKAT); GCN 37388 (ATCA)|Redshift: GCN 37293 (VLT); GCN 37310 (TNG)",57.2,34.45783132530121
240809A,1.494,240809A,240809A,08:30:29,1247745,237.545,-2.331,72.86,97,15:50:10.58,-02:19:04.3,88.31,467,15:50:10.52,-02:19:03.0,98,V=16.11,"SVOM/GRM, ECO1 (0.4m), Skynet/PROMPT, JinShan, NOT (2.5m), GROWTH-India (0.7m), KAIT (0.76m), VLT, Bassano Bresciano Observatory, REM (60cm), Liverpool (2m), Konus-Wind, ALMA @ 97.5 GHz, VLA @ 15 GHz, Belesta Observatory (820mm), Vidauban (300mm), Madagascar (350mm). Nastro Verde Observatory",1.495 (NOT)|1.494 (VLT: absorption),,UVOT: no detection,"BAT: GCN 37110; GCN 37154|XRT: GCN 37110; GCN 37115; GCN 37121; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 37110; GCN 37123|Radio: GCN 37157 (ALMA); GCN 37158 (VLA); GCN 37167 (VLA)|Redshift: GCN 37122 (NOT); GCN 37129 (VLT)",72.86,29.21411387329591
240414A,1.833,240414A,240414A,02:20:36,1221714,184.781,56.734,88.28,35,12:19:08.07,56:44:26.0,103.18,335,12:19:08.09,56:44:28.6,9754,V>19.60,"OHP (T193cm), GTC (10.4m), Skynet, Mondy/AZT-33IK (1.5m), Fermi (GBM), GMG, Glowbug, LBT, VLA @ 6 and 10 GHz",1.833 (OHP: absorption)|1.833 (GTC: absorption),,,"BAT: GCN 36083; GCN 36140|XRT: GCN 36083; GCN 36102; GCN 36104; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 36115|Radio: GCN 36231 (VLA)|Redshift: GCN 36085 (OHP); GCN 36087 (GTC)",88.28,31.16131309565831
231117A,0.257,231117A,231117A,03:03:19,1197027,332.404,13.516,0.67,23,22:09:33.57,13:31:21.1,101.84,,,,106,V>18.8,"AstroSat CZTI, AGILE, Konus-Wind, Glowbug, Lulin (40cm), Keck I (10m), Liverpool (2m), GIT (0.7m), GRBAlpha, ATCA @ 9 GHz, ePESSTO+, Lowell Discovery, SOAR (4m), VLA @ 10 GHz, GECAM-C, Pan-STARRS1, OHP/T120, MITSuME (50cm), CALET (GBM), Wendelstein (2m). GTC, Chandra, Mondy (AZT-33IK), MeerKAT @ 1.3 GHz",0.257 (Keck I: emission & absorption)|0.257 (ePESSTO+: emission),,,"BAT: GCN 35071; GCN 35152|XRT: GCN 35071; GCN 35074; GCN 35128; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 35071; GCN 35134; GCN 35154|Radio: GCN 35097 (ATCA); GCN 35114 (VLA); GCN 35201 (MeerKAT)|Redshift: GCN 35093 (Keck I); GCN 35098 (ePESSTO+)",0.67,0.5330151153540175
231111A,1.179,231111A,231111A,14:17:19,1195887,290.197,52.44,34.08,34,19:20:45.37,52:26:08.9,99.63,107,19:20:45.25,52:26:10.5,165,V>19.85,"Nanshan/HMT (0.5m), MASTER, GIT (0.7m), YAHPT, GECAM-C, Mindy AZT-33IK, Nastro Verde Observatory - Sorrento, GMG, Mephisto, Leavitt Observatory (250mm), NUTTelA-TAO/BSTI, TNG, OSIRIS+/GTC, Xinglong (2.16m), MDM (2.4m), Terskol (Zeiss-2000), Abastumani (AS-32), Maidanak (AZT-22), Mondy (AZT-33IK), Assy (AZT-20)","~1.39 (TNG, tentative)| 1.179 (GTC)",,,"BAT: GCN 34981; GCN 35033|XRT: GCN 34981; GCN 34991; GCN 34995; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 34981; GCN 35069|Redshift: GCN 35007 (TNG); 35009 (GTC)",34.08,15.640201927489672
230818A,2.42,230818A,230818A,23:27:34,1186032,285.888,40.888,9.82,19,19:03:33.15,40:53:48.3,141.12,,19:03:33.13,40:53:49.0,144,V=18.40,"MASTER-Tavrida, Fermi (GBM), GOTO, SAO RAS Zeiss-1000, NOT, KGO RC-25, Bassano Bresciano Observatory (250mm), Tautenburg (1.34m), AstroSat CZTI, SAO RAS (6m), Nickel (1m), KAIT (0.76m), Konus-Wind, GRID-03B",2.42 (NOT: absorption)|2.42 (SAO RAS: absorption),,,"BAT: GCN 34479; GCN 34515|XRT: GCN 34479; GCN 34484; GCN 34489; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 34479; GCN 34486|Redshift: GCN 34485 (NOT)",9.82,2.8713450292397664
221009A,0.1505,221009A,221009A,14:10:17,1126853,288.254,19.809,1068.40,740,19:13:03.85,19:46:22.7,91.60,2510,19:13:03.48,19:46:24.6,179,V= 15.55,"MASTER-SAAO, Fermi (GBM & LAT), Liverpool, SCT (0.28m), IPN, BOOTES-2/TELMA (60cm), OSN (0.9m), Sayan Observatory (AZT-33IK), MeerLICHT (0.6m), Nanshan (0.6m), VLT, SCT (0.36m), AGILE, REM (60cm), AMI-LA (@15.5 GHz), SAAO (1.8m), ATA (@1.5, 3, 6, 8, and 10 GHz), LOAO (1m), INTEGRAL, Solar Orbiter STIX, GROWTH-India (0.7m), SRG/ART-XC, Burke-Gaffney (0.61m), Al Khatim (0.36m), Lulin (40cm), Konus-Wind, Lick/Nickel (1m), AZT-20, NOEMA (@90 GHz), LHAASO, BlackGEM, iTelescope (T24, 0.61m), Sintez-Newton (350mm), GRBAlpha, GTC (10.4m), COATLI (50cm), LCOGT (1m), NICER, NuSTAR, eMERLIN (@1.51 GHz), SMA (@ 230.7 GHz), Konkoly (RC80), GMG (2.4m), MITSuME (50cm), ASKAP (@ 888 MHz), Lowell Discovery Telescope (4.3m), MeerKAT (@ 1.284 GHz), RTT-150 (1.5m), SIRI-2, Gemini-South, HEBS, OHP (120cm), MAXI, VLA, Pan-STARRS, Large Binocular Telescope, ALMA & ACA (@ 97.5, 145, & 203 GHz), ATCA (@ 16.7, 21.2, 33, 35, 45 & 47 GHz), LEIA, Faulkes Telescope North, Medicina (@ 8.2 GHz), GRANDMA, BOAO (1.8m), TNG (3.6m), BepiColombo-MGNS, LBT, DFOT (1.3m), James Webb Space Telescope, SARA-RM (1m), VLBA (@15.2 GHz), HST, Japanese VLBI Network (@ 6.86 and 8.45 GHz), DAMPE, Las Cumbres Observatory (2m, MuSCAT3), EVN (@ 8.3 & 5 GHz)",0.151 (VLT: absorption & emission from host)|0.1505 (GTC: absorption),,"Originally thought to be Swift J1913.1+1946.|XRT: discovery of multiple dust-scattering X-ray rings around GRB 221009A|Detection as sudden ionospheric disturbances (SID), See GCN 32744 & 32745","BAT: GCN 32632; GCN 32688|XRT: GCN 32632; GCN 32635; GCN 32651; GCN 32671; GCN 32680; GCN 33305; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 32632; GCN 32656|Radio: GCN 32653 (AMI-LA); GCN 32655 (ATA); GCN 32676 (NOEMA); GCN 32700 (eMERLIN); GCN 32707 (SMA); GCN 32736 (ASKAP); GCN 32740 (MeerKAT); GCN 32757 (VLA); GCN 32761 (ALMA & ACA); GCN 32763 (ATCA); GCN 32766 (ATCA); GCN 32791 (Medicina); GCN 32907 (VLBA); GCN 32949 (Japanese VLBI Network); GCN 33243 (EVN)|Redshift: GCN 32648 (VLT); GCN 32686 (GTC); GCN 32765 (VLT)|Other: GCN 32744; GCN 32745; GCN 32762; GCN 32780; GCN 32793; GCN 32808; GCN 32819; GCN 32828; GCN 32850",1068.4,928.6397218600608
220521A,5.57,220521A,220521A,23:20:21,1107466,275.218,10.372,13.55,8.1,18:20:55.15,10:22:18.4,96.34,,,,99,V>19.5,"Fermi (GBM), NOT, SAO RAS (1m), LCO (1m), MMT (6.5m), Gemini-South, ISON-Castelgrande, INTEGRAL, ALMA @ 97.5 GHz, ATCA @ 39 GHz",5.6 (NOT: absorption)|5.57 (Gemini-South),,UVOT: no detection,"BAT: GCN 32076; GCN 32090|XRT: GCN 32076; GCN 32077; GCN 32081; GCN 32086; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 32076; GCN 32085|Radio: GCN 32110 (ALMA); GCN 32111 (ATCA)|Redshift: GCN 32079 (NOT); GCN 32099 (Gemini-South)",13.55,2.0624048706240488
220101A,4.618,220101A,220101A,05:09:55,1091527,1.36,31.758,173.36,250,00:05:24.89,31:46:07.7,80.78,1300,00:05:24.80,31:46:08.4,90,V=18.70,"Fermi (LAT & GBM), Xinglong (2.16m), AGILE, THO (16""), Liverpool (2m), CAHA (2.2m), NOT, Konkoly Observatory, Asiago, GMG (2.4m), OASDG (0.5m), Tautenburg (1.34m), LCO (1m), ALMA @ 97.5 GHz, TNG (3.6m), DFOT (1.3m), VLA @ 6.0 Ghz, iTelescope (T21), AZT-33IK (Mondy), SAO RAS Zeiss-1000 (1m), Konus-Wind, THSAO Zeiss-1000, KAP (1.88m)",4.61 (Xinglong: absorption)|4.618 (NOT: absorption)|4.61 (Asiago: absorption),,,"BAT: GCN 31347; GCN 31348; GCN 31369|XRT: GCN 31347; GCN 31349; GCN 31355; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 31347; GCN 31351|Radio: GCN 31372 (ALMA); GCN 31385 (VLA)|Redshift: GCN 31353 (Xinglong); GCN 31359 (NOT); GCN 31363 (Asiago)|Other: GCN 31365; GCN 31648",173.36,30.857956568173726
